Time,T1,T2,Q1,Q2
679.0,49.741,30.921,60.0,0.0
681.01,49.87,30.921,60.0,0.0
684.01,49.645,31.05,60.0,0.0
686.01,49.838,31.05,60.0,0.0
688.0,49.87,31.211,60.0,0.0
691.0,49.902,31.211,60.0,0.0
694.0,49.902,31.211,60.0,0.0
696.0,49.902,31.211,60.0,0.0
698.01,49.902,31.211,60.0,0.0
700.02,49.902,31.211,60.0,0.0
703.01,49.902,31.211,60.0,0.0
705.01,49.902,31.243,60.0,0.0
707.01,49.902,31.243,60.0,0.0
710.02,49.902,31.275,60.0,0.0
713.01,50.031,31.243,60.0,0.0
715.0,50.063,31.372,60.0,0.0
717.01,49.999,31.308,60.0,0.0
720.0,50.063,31.533,60.0,60.0
723.01,49.999,31.565,60.0,60.0
725.01,50.192,31.565,60.0,60.0
728.01,50.16,31.727,60.0,60.0
731.01,50.225,31.855,60.0,60.0
734.0,50.225,32.049,60.0,60.0
736.0,50.225,32.146,60.0,60.0
738.01,50.257,32.307,60.0,60.0
741.0,50.063,32.371,60.0,60.0
743.01,50.225,32.693,60.0,60.0
746.01,50.321,32.983,60.0,60.0
749.01,50.225,32.951,60.0,60.0
752.0,50.257,33.338,60.0,60.0
754.01,50.225,33.435,60.0,60.0
757.01,50.321,33.918,60.0,60.0
760.02,50.45,33.886,60.0,60.0
762.01,50.547,34.111,60.0,60.0
764.0,50.515,34.24,60.0,60.0
766.01,50.547,34.434,60.0,60.0
769.01,50.579,34.917,60.0,60.0
772.01,50.644,34.885,60.0,60.0
775.01,50.644,35.239,60.0,60.0
778.01,50.837,35.594,60.0,60.0
781.01,50.676,35.723,60.0,60.0
784.01,50.869,36.238,60.0,60.0
786.0,50.869,36.174,60.0,60.0
789.01,50.869,36.367,60.0,60.0
792.0,50.934,36.851,60.0,60.0
795.0,50.934,36.722,60.0,60.0
798.0,51.127,37.205,60.0,60.0
801.01,51.095,37.495,60.0,60.0
803.0,51.191,37.527,60.0,60.0
806.01,51.191,37.656,60.0,60.0
808.01,51.191,37.85,60.0,60.0
810.01,51.256,38.172,60.0,60.0
813.0,51.288,38.107,60.0,60.0
816.01,51.417,38.559,60.0,60.0
819.0,51.481,38.784,60.0,60.0
821.01,51.514,38.688,60.0,60.0
824.01,51.514,39.171,60.0,60.0
826.0,51.546,39.106,60.0,60.0
828.01,51.514,39.332,60.0,60.0
830.0,51.514,39.461,60.0,60.0
833.02,51.61,39.687,60.0,60.0
836.02,51.643,39.848,60.0,60.0
838.01,51.771,40.041,60.0,60.0
841.01,51.836,39.912,60.0,60.0
844.01,51.739,40.299,60.0,60.0
847.0,51.868,40.524,60.0,60.0
850.01,51.997,40.814,60.0,60.0
852.01,52.029,40.75,60.0,60.0
855.0,52.158,41.008,60.0,60.0
858.0,52.126,41.072,60.0,60.0
861.01,52.158,41.459,60.0,60.0
864.01,52.158,41.459,60.0,60.0
867.01,52.19,41.491,60.0,60.0
870.0,52.319,41.717,60.0,60.0
873.01,52.48,41.717,60.0,60.0
876.0,52.48,41.91,60.0,60.0
878.02,52.48,41.846,60.0,60.0
881.01,52.48,42.329,60.0,60.0
884.01,52.48,42.297,60.0,60.0
886.0,52.771,42.426,60.0,60.0
888.0,52.803,42.297,60.0,60.0
890.01,52.771,42.651,60.0,60.0
892.01,52.803,42.49,60.0,60.0
895.0,52.803,42.684,60.0,60.0
898.02,52.835,42.684,60.0,60.0
901.0,52.867,42.877,60.0,60.0
903.01,53.093,43.006,60.0,60.0
906.01,53.125,42.941,60.0,60.0
909.01,53.125,43.231,60.0,60.0
911.0,53.125,43.328,60.0,60.0
913.01,53.093,43.135,60.0,60.0
916.01,53.125,43.328,60.0,60.0
918.0,53.125,43.328,60.0,60.0
920.0,53.125,43.199,60.0,60.0
922.01,53.222,43.457,60.0,60.0
925.0,53.383,43.65,60.0,60.0
928.01,53.415,43.715,60.0,60.0
931.01,53.415,43.457,60.0,60.0
934.01,53.318,43.747,60.0,60.0
937.01,53.447,43.812,60.0,60.0
940.01,53.512,43.779,60.0,60.0
943.01,53.673,44.037,60.0,60.0
946.01,53.737,43.94,60.0,60.0
949.0,53.77,44.102,60.0,60.0
952.01,53.77,44.166,60.0,60.0
955.01,53.77,44.198,60.0,60.0
958.0,53.77,44.392,60.0,60.0
961.01,53.866,44.456,60.0,60.0
964.01,54.06,44.682,60.0,60.0
